gene_id	variant_id	logafc	sample	Tissue	total_coverage	variants	log2_aFC	TOTAL_COUNT	dir	thresh
ENSG00000165795.25	chr14@21017347@T@C	0.35588811	GTOP-AJ141-2099	Adrenal_Gland	4824	rs10196	0.33944905537688375	1409	same	20
ENSG00000119669.5	chr14@77027445@C@T	3.04439412	GTOP-AJ141-2099	Adrenal_Gland	74	rs28692724	1.4329594072761063	74	same	20
ENSG00000090487.11	chr15@64963363@T@C	0.3165638	GTOP-AJ141-2099	Adrenal_Gland	1089	rs7322	0.6430654552847245	187	same	20
ENSG00000103811.18	chr15@78944951@C@T	-1.64879411	GTOP-AJ141-2099	Adrenal_Gland	579	rs2289702	-1.0588936890535685	111	same	20
ENSG00000196502.15	chr16@28605736@G@A	-1.52295284	GTOP-AJ141-2099	Adrenal_Gland	399	rs1042157	-1.9556058806415466	161	same	20
ENSG00000289755.2	chr16@28605736@G@A	-2.07763741	GTOP-AJ141-2099	Adrenal_Gland	543	rs1042157	-1.9556058806415466	161	same	20
ENSG00000293550.1	chr16@28605736@G@A	-2.5849625	GTOP-AJ141-2099	Adrenal_Gland	21	rs1042157	-1.9556058806415466	161	same	20
ENSG00000159461.15	chr16@56361698@G@A	3.47248777	GTOP-AJ141-2099	Adrenal_Gland	242	rs2550303	1.289506617194985	62	same	20
ENSG00000159579.14	chr16@57186463@A@C	1.40209844	GTOP-AJ141-2099	Adrenal_Gland	51	rs74485691	3.169925001442312	20	same	20
ENSG00000232859.10	chr17@27879388@C@A	0.72289041	GTOP-AJ141-2099	Adrenal_Gland	273	rs3751972	1.0995356735509143	88	same	20
ENSG00000261371.6	chr17@64322640@G@A	0.77051815	GTOP-AJ141-2099	Adrenal_Gland	322	rs1050382	0.8220016980220055	155	same	20
ENSG00000185231.5	chr18@13883526@T@A	-0.88752527	GTOP-AJ141-2099	Adrenal_Gland	114	rs3888305	-1.0614005446641432	71	same	20
ENSG00000167775.11	chr19@8302475@G@C	-1.04288581	GTOP-AJ141-2099	Adrenal_Gland	355	rs2227289	-1.1844245711374275	72	same	20
ENSG00000127528.6	chr19@16327850@T@A	-3	GTOP-AJ141-2099	Adrenal_Gland	36	rs11086029	-0.7004397181410921	147	same	20
ENSG00000169515.9	chr19@46411290@C@G	-1.97727992	GTOP-AJ141-2099	Adrenal_Gland	79	rs2279517	-1.7520724865564146	83	same	20
ENSG00000182013.18	chr19@46467482@C@T	-1.05987146	GTOP-AJ141-2099	Adrenal_Gland	182	rs11083832	-0.9803711932510674	110	same	20
ENSG00000218510.9	chr1@22025615@C@T	3.45943162	GTOP-AJ141-2099	Adrenal_Gland	48	rs11801382	1.893084796083488	33	same	20
ENSG00000183431.12	chr1@37957387@C@G	1.19264508	GTOP-AJ141-2099	Adrenal_Gland	115	rs117571511	-2.070389327891398	26	diff	20
ENSG00000071082.11	chr2@101019076@C@T	-2.50250034	GTOP-AJ141-2099	Adrenal_Gland	160	rs13007048	-1.6651328494051396	146	same	20
ENSG00000115461.5	chr2@216676703@C@T	-0.64909284	GTOP-AJ141-2099	Adrenal_Gland	339	rs11575205	0.24027660244622268	1324	diff	20
ENSG00000225733.8	chr3@14944928@T@C	1.49749966	GTOP-AJ141-2099	Adrenal_Gland	130	rs1142981	0.963474123974886	177	same	20
ENSG00000163347.6	chr3@190307715@G@A	0.50834122	GTOP-AJ141-2099	Adrenal_Gland	562	rs923412514	0.8225413258722802	299	same	20
ENSG00000128059.8	chr4@56393833@C@T	-1.28950662	GTOP-AJ141-2099	Adrenal_Gland	62	rs17086746	-1.5305147166987798	35	same	20
ENSG00000154556.20	chr4@185587569@G@T	0.26256834	GTOP-AJ141-2099	Adrenal_Gland	1135	rs3186	0.3204166279697628	859	same	20
ENSG00000124782.21	chr6@7251493@T@G	-2.68449817	GTOP-AJ141-2099	Adrenal_Gland	52	rs397834173	-5.108524456778169	71	same	20
ENSG00000124783.14	chr6@7288064@G@A	-0.46895439	GTOP-AJ141-2099	Adrenal_Gland	360	rs8955	0.6316125940199775	181	diff	20
ENSG00000048544.7	chr6@42206820@A@G	0.9914885	GTOP-AJ141-2099	Adrenal_Gland	254	rs4714580	-1.4020984435713455	51	diff	20
ENSG00000112697.17	chr6@75253938@G@A	-0.40053793	GTOP-AJ141-2099	Adrenal_Gland	812	rs3756794	-0.8534513366470582	247	same	20
ENSG00000118495.21	chr6@143942155@G@T	6.27922364	GTOP-AJ141-2099	Adrenal_Gland	236	rs201977118	5.236492618381302	387	same	20
ENSG00000004799.8	chr7@95596501@T@C	-0.33581081	GTOP-AJ141-2099	Adrenal_Gland	1778	rs10085637	-2.115477217419936	48	same	20
ENSG00000104723.21	chr8@15540311@C@T	-0.41185625	GTOP-AJ141-2099	Adrenal_Gland	529	rs12550009	-1.155278225477911	71	same	20
GTOPG000000125	chr8@38748957@G@A	-1.09621532	GTOP-AJ141-2099	Adrenal_Gland	91	rs11992001	-1.4780472968046443	53	same	20
ENSG00000104408.11	chr8@108230752@G@T	2.45943162	GTOP-AJ141-2099	Adrenal_Gland	26	rs633901	-1.8744691179161412	28	diff	20
ENSG00000160882.13	chr8@142878141@G@A	3.24792751	GTOP-AJ141-2099	Adrenal_Gland	21	rs4609179	2.5215371205795227	209	same	20
ENSG00000172159.16	chr9@83247904@G@A	-1.14886339	GTOP-AJ141-2099	Adrenal_Gland	148	rs78846594	-1.2630344058337937	68	same	20
ENSG00000070061.16	chr9@108867764@G@T	2.10433666	GTOP-AJ141-2099	Adrenal_Gland	53	rs4978371	1.7725895038969275	53	same	20
ENSG00000176978.16	chr9@137111750@G@A	-0.20508541	GTOP-AJ141-2099	Adrenal_Gland	2579	rs13631	-0.4646682670034444	476	same	20
ENSG00000289616.3	chr10@29947708@C@T	1.77760758	GTOP-AJ142-1053	Liver	124	rs77614299	1.496425826119499	107	same	20
ENSG00000185201.18	chr11@308314@T@C	-0.32825902	GTOP-AJ142-1053	Liver	2154	rs14408	-0.26854088214033733	1153	same	20
ENSG00000149485.19	chr11@61800281@C@A	-3.09686154	GTOP-AJ142-1053	Liver	86	rs174544	-3.0223678130284544	146	same	20
ENSG00000167799.10	chr11@67628243@C@T	2.80735492	GTOP-AJ142-1053	Liver	24	rs7124513	3.3259300254448587	397	same	20
ENSG00000172893.18	chr11@71435531@G@A	0.47248777	GTOP-AJ142-1053	Liver	382	rs909217	0.4311571646421207	418	same	20
ENSG00000110243.12	chr11@116789970@G@A	0.78294501	GTOP-AJ142-1053	Liver	5444	rs2266788	0.4299609451148168	1298	same	20
ENSG00000111700.13	chr12@20861014@C@T	1.56634682	GTOP-AJ142-1053	Liver	103	rs3764009	1.1799090900149345	418	same	20
ENSG00000123415.16	chr12@54182016@C@A	-1.42321143	GTOP-AJ142-1053	Liver	81	rs2233921	-1.1443899093351748	61	same	20
ENSG00000155957.19	chr12@66137823@T@C	-2.30985526	GTOP-AJ142-1053	Liver	143	rs11176054	-1.306661338234052	66	same	20
ENSG00000139344.8	chr12@95943386@G@A	0.84434913	GTOP-AJ142-1053	Liver	123	rs7955759	-0.47017905347130473	551	diff	20
ENSG00000122033.15	chr13@27435783@G@C	0.759866	GTOP-AJ142-1053	Liver	202	rs1218825	1.0285691521967708	76	same	20
ENSG00000080618.17	chr13@46053304@A@T	0.52674789	GTOP-AJ142-1053	Liver	4896	rs1087	0.5275699219979536	2671	same	20
ENSG00000139835.14	chr13@113324375@T@C	1.88041838	GTOP-AJ142-1053	Liver	206	rs3168760	1.031708859727338	137	same	20
ENSG00000157379.14	chr14@24290803@G@A	0.56704059	GTOP-AJ142-1053	Liver	268	rs4568	0.6256044852185022	356	same	20
ENSG00000100554.12	chr14@67338536@A@C	0.73360658	GTOP-AJ142-1053	Liver	229	rs1045060	0.6578940231750073	232	same	20
ENSG00000185650.10	chr14@68788935@G@T	0.23512554	GTOP-AJ142-1053	Liver	2140	rs6739	2.1844245711374275	1098	same	20
ENSG00000197249.14	chr14@94377228@T@C	-3	GTOP-AJ142-1053	Liver	261	rs11832	-0.5416350690570555	2075	same	20
ENSG00000140988.16	chr16@1963197@A@G	0.53981046	GTOP-AJ142-1053	Liver	292	rs138856363	0.24523763944574273	3149	same	20
ENSG00000183549.10	chr16@20409610@T@C	0.85970866	GTOP-AJ142-1053	Liver	729	rs7199791	1.1546333494897218	442	same	20
ENSG00000196502.15	chr16@28609990@T@C	1.87582059	GTOP-AJ142-1053	Liver	453	rs2077412	2.783376059123164	205	same	20
ENSG00000289755.2	chr16@28609990@T@C	1.93325118	GTOP-AJ142-1053	Liver	453	rs2077412	2.783376059123164	205	same	20
ENSG00000125144.14	chr16@56666810@G@T	-0.40743161	GTOP-AJ142-1053	Liver	3650	rs12315	-0.6403880105278279	21015	same	20
ENSG00000181885.18	chr17@7260404@A@C	1.9510904	GTOP-AJ142-1053	Liver	73	rs3744400	1.9719856238304034	64	same	20
ENSG00000214941.8	chr17@15977837@C@G	-1.7574297	GTOP-AJ142-1053	Liver	92	rs11654	-1	72	same	20
ENSG00000109046.15	chr17@27313055@A@G	2.22239242	GTOP-AJ142-1053	Liver	34	rs1060618	1.0139391909578739	311	same	20
ENSG00000261371.6	chr17@64322640@G@A	0.98388033	GTOP-AJ142-1053	Liver	134	rs1050382	0.6607939136808021	271	same	20
ENSG00000065268.11	chr19@984537@A@G	1.18903382	GTOP-AJ142-1053	Liver	246	rs61732720	1.2461605872693977	145	same	20
ENSG00000095932.7	chr19@3474473@A@G	-4.96000193	GTOP-AJ142-1053	Liver	257	rs1055392	-4.3011695347205645	145	same	20
ENSG00000125730.18	chr19@6677978@G@A	0.14218068	GTOP-AJ142-1053	Liver	14664	rs17030	0.4288319839479995	17094	same	20
ENSG00000105088.9	chr19@9854147@A@G	-4.32192809	GTOP-AJ142-1053	Liver	63	rs8111802	-2.4882864813094825	119	same	20
ENSG00000186115.13	chr19@15878374@G@A	3.72022233	GTOP-AJ142-1053	Liver	553	rs3093203	2.5175756609912816	565	same	20
ENSG00000124299.16	chr19@33387292@A@G	0.42671374	GTOP-AJ142-1053	Liver	1226	rs1061338	0.3404053341362905	1090	same	20
ENSG00000182472.9	chr19@38730655@A@G	-3.36923381	GTOP-AJ142-1053	Liver	34	rs1060186	-2.357552004618084	49	same	20
ENSG00000171747.9	chr19@38806563@G@A	-2.88752527	GTOP-AJ142-1053	Liver	42	rs752125046	-2.489384840738925	172	same	20
ENSG00000198077.11	chr19@40875543@G@C	1.19587459	GTOP-AJ142-1053	Liver	826	rs696839	1.5077946401986964	123	same	20
ENSG00000105398.4	chr19@47871128@T@C	1.19696982	GTOP-AJ142-1053	Liver	754	rs4149454	0.2718046154615259	1267	same	20
ENSG00000169136.13	chr19@49933458@G@A	-0.33342373	GTOP-AJ142-1053	Liver	791	rs3170545	-0.16660539463284327	6259	same	20
ENSG00000159423.17	chr1@18871924@C@T	-0.38039136	GTOP-AJ142-1053	Liver	679	rs1138269	-0.34014781578762665	2710	same	20
ENSG00000188257.12	chr1@19975471@G@A	-0.22352692	GTOP-AJ142-1053	Liver	29128	rs11677	-0.7786758460510435	611	same	20
ENSG00000159189.13	chr1@22643697@G@T	-0.40649949	GTOP-AJ142-1053	Liver	3744	rs45611035	-0.6219202567198259	3392	same	20
ENSG00000117226.13	chr1@89007058@G@A	-2.84799691	GTOP-AJ142-1053	Liver	41	rs118158483	-3.2667865406949015	85	same	20
ENSG00000188641.14	chr1@97078196@G@A	-1	GTOP-AJ142-1053	Liver	90	rs291593	-0.7555812723335531	207	same	20
ENSG00000198734.12	chr1@169542317@T@C	0.43692062	GTOP-AJ142-1053	Liver	539	rs6032	0.2885694979409315	933	same	20
ENSG00000232628.8	chr1@224208878@A@G	-3.70043972	GTOP-AJ142-1053	Liver	42	rs12756984	-4.073248982030639	107	same	20
ENSG00000135744.9	chr1@230702585@G@T	0.31398559	GTOP-AJ142-1053	Liver	2288	rs7079	0.33572760609078434	1977	same	20
ENSG00000125534.11	chr20@63521958@G@C	1.25601398	GTOP-AJ142-1053	Liver	698	rs1139147	0.5347767435529394	382	same	20
GTOPG000000085	chr22@22698282@G@T	0.83510357	GTOP-AJ142-1053	Liver	1495	rs5751516	1.009586048829198	226	same	20
ENSG00000100003.18	chr22@30397148@G@A	-0.53051472	GTOP-AJ142-1053	Liver	418	rs757660	-0.2721166818781297	1340	same	20
ENSG00000100138.15	chr22@41674272@T@C	0.96523458	GTOP-AJ142-1053	Liver	124	rs8779	1.1950159824051427	125	same	20
ENSG00000100266.19	chr22@42869821@G@T	-0.70781925	GTOP-AJ142-1053	Liver	158	rs7074	1.3439544012173612	46	diff	20
ENSG00000237651.8	chr2@61145163@C@G	1.57878393	GTOP-AJ142-1053	Liver	311	rs3213944	2.736965594166206	23	same	20
ENSG00000007001.14	chr2@158102093@G@T	2.95419631	GTOP-AJ142-1053	Liver	35	rs6710480	4.584962500721156	50	same	20
ENSG00000172340.15	chr3@67375387@A@C	-0.76304472	GTOP-AJ142-1053	Liver	828	rs1065401	-0.6091787381419794	1293	same	20
ENSG00000159650.9	chr3@126481560@A@C	-1.22239242	GTOP-AJ142-1053	Liver	170	rs1799398	-0.6247086795139126	455	same	20
ENSG00000169903.7	chr3@149474777@A@G	0.38781603	GTOP-AJ142-1053	Liver	2223	rs9793	0.4077474633483663	1154	same	20
ENSG00000171564.12	chr4@154572019@G@A	-1.65634713	GTOP-AJ142-1053	Liver	573	rs2227426	-1.7408948613455668	1433	same	20
ENSG00000250722.6	chr5@42799823@A@G	-0.8451144	GTOP-AJ142-1053	Liver	467	rs16872762	-0.7824085649273732	204	same	20
ENSG00000164406.8	chr5@132874982@G@C	0.61843721	GTOP-AJ142-1053	Liver	540	rs57880964	0.33203297252375785	707	same	20
ENSG00000131187.11	chr5@177402660@C@A	1.30773421	GTOP-AJ142-1053	Liver	497	rs138580930	1.2597126984416647	2091	same	20
ENSG00000112304.11	chr6@24667095@C@T	-1.28843118	GTOP-AJ142-1053	Liver	420	rs17243157	-1.3598959450863828	107	same	20
ENSG00000244067.3	chr6@52750159@T@C	-2.79141338	GTOP-AJ142-1053	Liver	103	rs41271283	-3.8387190929669393	199	same	20
ENSG00000234155.2	chr6@85389344@C@G	-2.26303441	GTOP-AJ142-1053	Liver	116	rs6919028	-2.9564107314523174	184	same	20
ENSG00000203875.14	chr6@85678170@G@T	2.29545588	GTOP-AJ142-1053	Liver	65	rs1059307	1.5498800415657108	436	same	20
ENSG00000235669.1	chr7@29199399@T@C	1.04730571	GTOP-AJ142-1053	Liver	92	rs3812394	0.8813555035013809	162	same	20
ENSG00000196262.15	chr7@44796715@A@G	0.42346612	GTOP-AJ142-1053	Liver	899	rs6850	0.27899670058978193	1691	same	20
ENSG00000272831.3	chr7@66740233@A@G	0.857981	GTOP-AJ142-1053	Liver	405	rs3757420	1.3184475261524005	290	same	20
ENSG00000164821.5	chr8@6936059@A@G	0.85480208	GTOP-AJ142-1053	Liver	396	rs2738100	0.8511366140855173	286	same	20
ENSG00000164733.23	chr8@11845033@T@C	-0.14739553	GTOP-AJ142-1053	Liver	5486	rs8898	0.14203770026032458	10145	diff	20
ENSG00000120885.22	chr8@27611345@C@G	0.80735492	GTOP-AJ142-1053	Liver	1089	rs9331888	0.6813669846742187	427	same	20
ENSG00000137563.13	chr8@63015187@T@C	0.60842147	GTOP-AJ142-1053	Liver	308	rs17279558	0.8807010716276555	179	same	20
ENSG00000104537.17	chr8@123681204@C@T	1.97575245	GTOP-AJ142-1053	Liver	74	rs3739283	2.192645077942396	39	same	20
ENSG00000172785.19	chr9@154795@T@C	-0.65838357	GTOP-AJ142-1053	Liver	214	rs2785333	-1.4214637684382767	103	same	20
ENSG00000135070.15	chr9@86265245@G@A	2.77760758	GTOP-AJ142-1053	Liver	55	rs11141321	1.9634741239748859	49	same	20
ENSG00000106853.20	chr9@111562668@A@G	-5	GTOP-AJ142-1053	Liver	66	rs7858562	-2.959358015502654	79	same	20
ENSG00000148175.13	chr9@121339285@C@T	0.79432497	GTOP-AJ142-1053	Liver	391	rs442472	0.7352967738055878	922	same	20
ENSG00000288922.3	chr10@5485753@C@T	-1.4918531	GTOP-AJ211-0160	Adipose	122	rs11253199	-1.6020360140800978	113	same	20
ENSG00000099250.18	chr10@33178384@C@T	0.36257008	GTOP-AJ211-0160	Adipose	1008	rs10827206	-0.3663741555264784	1156	diff	20
ENSG00000165507.9	chr10@44976597@A@G	-0.97862635	GTOP-AJ211-0160	Adipose	9292	rs7013	-0.9661910295461162	2933	same	20
ENSG00000225484.8	chr10@79766080@C@T	1.94753258	GTOP-AJ211-0160	Adipose	68	rs140374422	1.1805722456418208	98	same	20
ENSG00000099194.6	chr10@100356554@A@C	-0.96613858	GTOP-AJ211-0160	Adipose	30112	rs2234970	-0.9227739592524691	50502	same	20
ENSG00000165672.7	chr10@119168032@T@G	-0.34257349	GTOP-AJ211-0160	Adipose	6609	rs3377	-0.42468766931256313	1396	same	20
ENSG00000167244.22	chr11@2129862@C@T	4.02819689	GTOP-AJ211-0160	Adipose	329	rs181296097	4.012939055707498	1903	same	20
ENSG00000197702.14	chr11@12533809@G@T	2.33298328	GTOP-AJ211-0160	Adipose	157	rs7118257	1.6374299206152918	37	same	20
ENSG00000149485.19	chr11@61802358@C@T	-0.40518679	GTOP-AJ211-0160	Adipose	1964	rs174546	-0.4344028241457749	696	same	20
ENSG00000172935.10	chr11@69004604@G@A	0.5849625	GTOP-AJ211-0160	Adipose	340	rs1054252	0.8527740468168221	376	same	20
ENSG00000154096.14	chr11@119419324@G@C	0.24817322	GTOP-AJ211-0160	Adipose	1352	rs1054735	0.3737182329002068	1118	same	20
ENSG00000139182.15	chr12@7156877@G@C	2.64385619	GTOP-AJ211-0160	Adipose	29	rs1868800	2.807354922057604	24	same	20
ENSG00000110852.5	chr12@9853179@A@G	-1.75132089	GTOP-AJ211-0160	Adipose	131	rs2594072	-2.9068905956085187	34	same	20
ENSG00000110852.5	chr12@9853181@G@A	-1.75132089	GTOP-AJ211-0160	Adipose	131	rs2539933	-2.9068905956085187	34	same	20
ENSG00000060982.15	chr12@24816804@A@G	1.33880191	GTOP-AJ211-0160	Adipose	60	rs7134734	1.2785354993739817	185	same	20
ENSG00000102753.10	chr13@49701213@T@A	1.04730571	GTOP-AJ211-0160	Adipose	92	rs755335	3.6865005271832185	111	same	20
ENSG00000100554.12	chr14@67338536@A@C	0.3847389	GTOP-AJ211-0160	Adipose	943	rs1045060	0.5062791510286776	380	same	20
ENSG00000090487.11	chr15@64963363@T@C	0.32986591	GTOP-AJ211-0160	Adipose	1309	rs7322	1.2118386431757069	650	same	20
ENSG00000103876.14	chr15@80152877@G@A	1.85234994	GTOP-AJ211-0160	Adipose	1102	rs56043846	3.9068905956085187	32	same	20
ENSG00000108551.5	chr17@17494504@G@C	0.08917942	GTOP-AJ211-0160	Adipose	9483	rs711352	-0.881355503501381	810	diff	20
ENSG00000261371.6	chr17@64323215@G@C	0.24035897	GTOP-AJ211-0160	Adipose	1865	rs6808	-0.370259344973356	1144	diff	20
ENSG00000141338.15	chr17@68932088@C@T	-1.71271805	GTOP-AJ211-0160	Adipose	77	rs4147971	-1.5849625007211563	80	same	20
ENSG00000132475.10	chr17@75779744@G@A	-0.17966989	GTOP-AJ211-0160	Adipose	13041	rs12882	-0.2640195168593617	1074	same	20
ENSG00000167291.16	chr17@79936681@T@G	0.90923454	GTOP-AJ211-0160	Adipose	118	rs12601303	0.5936797178222651	414	same	20
ENSG00000105426.19	chr19@5206263@G@T	1.52356196	GTOP-AJ211-0160	Adipose	124	rs139183127	2.7925579201295236	333	same	20
ENSG00000099785.11	chr19@8413366@G@C	1.40490312	GTOP-AJ211-0160	Adipose	456	rs890849	0.8241501646005822	169	same	20
ENSG00000130303.14	chr19@17403172@T@G	0.48782832	GTOP-AJ211-0160	Adipose	824	rs9576	0.2812060696098973	1369	same	20
ENSG00000081665.15	chr19@19799441@T@C	4.95419631	GTOP-AJ211-0160	Adipose	32	rs72620574	2.321928094887362	48	same	20
ENSG00000124299.16	chr19@33387292@A@G	0.45593239	GTOP-AJ211-0160	Adipose	1691	rs1061338	0.3108161397671377	876	same	20
ENSG00000161558.11	chr19@48332825@A@C	-2.5360529	GTOP-AJ211-0160	Adipose	102	rs3745720	-2.237039197300849	40	same	20
ENSG00000142794.19	chr1@21440269@C@G	1.89812039	GTOP-AJ211-0160	Adipose	52	rs117626793	1.628031222613042	45	same	20
ENSG00000162512.16	chr1@30869541@A@C	-3.25191837	GTOP-AJ211-0160	Adipose	200	rs796441004	-1.6453351187006378	161	same	20
ENSG00000162384.14	chr1@53214418@G@A	-0.53433643	GTOP-AJ211-0160	Adipose	355	rs1056425	-0.6744241280974933	257	same	20
ENSG00000117226.13	chr1@89007451@C@T	5.05889369	GTOP-AJ211-0160	Adipose	103	rs2077694	3.0995356735509145	67	same	20
ENSG00000143162.9	chr1@167542019@T@C	-0.21826939	GTOP-AJ211-0160	Adipose	1841	rs2031131	-0.23791734484202293	1410	same	20
ENSG00000135821.20	chr1@182383487@G@A	0.19170112	GTOP-AJ211-0160	Adipose	7778	rs191590401	0.20565106235279612	3626	same	20
ENSG00000117280.13	chr1@205770138@C@T	0.81669279	GTOP-AJ211-0160	Adipose	243	rs708723	0.7104933828050152	174	same	20
ENSG00000088832.18	chr20@1370028@T@C	0.2006717	GTOP-AJ211-0160	Adipose	7849	rs6041749	0.19747607377555101	3600	same	20
ENSG00000178726.7	chr20@23048087@G@A	-0.81398801	GTOP-AJ211-0160	Adipose	171	rs1042579	-0.3467464577388584	995	same	20
ENSG00000124249.7	chr20@44746130@G@A	3.22032995	GTOP-AJ211-0160	Adipose	258	rs1228882558	2.914883386362049	205	same	20
ENSG00000184113.10	chr22@19523532@C@A	0.46594945	GTOP-AJ211-0160	Adipose	4972	rs756654	0.31182750491839245	1542	same	20
ENSG00000100304.13	chr22@43167666@A@G	-0.84052179	GTOP-AJ211-0160	Adipose	120	rs56371974	-0.7558953227010572	285	same	20
ENSG00000188511.15	chr22@49656737@A@G	-2.24792751	GTOP-AJ211-0160	Adipose	69	rs76985604	-1.8073549220576042	81	same	20
ENSG00000270820.9	chr2@61471744@T@A	1.17449773	GTOP-AJ211-0160	Adipose	114	rs185834646	1.5501970825604794	55	same	20
ENSG00000123600.21	chr2@171323433@C@T	-2.22239242	GTOP-AJ211-0160	Adipose	51	rs80027089	-2.321928094887362	36	same	20
ENSG00000138430.16	chr2@174075256@G@A	1.59047951	GTOP-AJ211-0160	Adipose	349	rs1063613	0.8771432522144665	139	same	20
ENSG00000128699.15	chr2@189770417@C@T	-1.33560303	GTOP-AJ211-0160	Adipose	148	rs1055091	-2.273018494406416	35	same	20
ENSG00000135926.15	chr2@218275565@G@C	-0.22445452	GTOP-AJ211-0160	Adipose	3465	rs2292550	-0.20718810165299262	1967	same	20
ENSG00000144567.11	chr2@219184824@G@T	-2.76553475	GTOP-AJ211-0160	Adipose	39	rs10191168	1.8875252707415875	47	diff	20
ENSG00000225733.8	chr3@14944928@T@C	1.94005746	GTOP-AJ211-0160	Adipose	208	rs1142981	1.9008668079807485	303	same	20
ENSG00000004399.13	chr3@129555971@G@A	0.43966295	GTOP-AJ211-0160	Adipose	787	rs60340844	0.3260324932200988	1582	same	20
ENSG00000138744.17	chr4@75917705@A@T	2.28950662	GTOP-AJ211-0160	Adipose	53	rs7686066	2.4329594072761065	64	same	20
ENSG00000170522.10	chr4@110046154@A@G	-1.3219280899999999	GTOP-AJ211-0160	Adipose	70	rs9030	-0.4708907340123613	408	same	20
ENSG00000170153.11	chr4@140861984@G@A	1.39231742	GTOP-AJ211-0160	Adipose	116	rs17336665	1.6609113539544549	154	same	20
ENSG00000145423.5	chr4@153781131@G@C	0.66701672	GTOP-AJ211-0160	Adipose	1017	rs17030428	0.8073549220576041	418	same	20
ENSG00000291079.2	chr5@1628726@A@G	-5.39231742	GTOP-AJ211-0160	Adipose	43	rs139201803	-2.502500340529183	20	same	20
ENSG00000150753.12	chr5@10250318@G@A	0.34638114	GTOP-AJ211-0160	Adipose	1063	rs2548546	1.096215315259303	91	same	20
ENSG00000112977.16	chr5@10680375@G@A	0.41966895	GTOP-AJ211-0160	Adipose	727	rs1049344	0.7025587320459943	825	same	20
ENSG00000164253.14	chr5@77432611@A@C	0.76121314	GTOP-AJ211-0160	Adipose	159	rs3149	0.9151111024134869	101	same	20
ENSG00000124743.6	chr6@53650045@T@C	-1.6520767	GTOP-AJ211-0160	Adipose	87	rs77624378	-1.2108967824986185	179	same	20
ENSG00000106211.11	chr7@76305323@G@C	4.93073734	GTOP-AJ211-0160	Adipose	63	rs7459185	6.164188631893167	1018	same	20
ENSG00000105939.14	chr7@139047242@T@A	1.28010792	GTOP-AJ211-0160	Adipose	72	rs5022945	0.8813555035013809	108	same	20
ENSG00000106565.19	chr7@150791528@A@G	0.57929375	GTOP-AJ211-0160	Adipose	636	rs2302479	0.38796277099417187	1459	same	20
ENSG00000170323.9	chr8@81478525@C@T	-0.2645465	GTOP-AJ211-0160	Adipose	26589	rs1054135	-0.18448000504037138	4448	same	20
ENSG00000131669.10	chr9@93121564@G@A	-0.62840176	GTOP-AJ211-0160	Adipose	583	rs12238760	-0.5647846187835259	357	same	20
ENSG00000148175.13	chr9@121340904@C@T	-0.19199342	GTOP-AJ211-0160	Adipose	2965	rs41273436	-0.24831290012702825	2155	same	20
ENSG00000165507.9	chr10@44976597@A@G	-1.20938336	GTOP-AJ211-1856	Gallbladder	1845	rs7013	-0.758991900496205	385	same	20
